station,station_slug,latitude,longitude,london_terminal,terminal_code,fastest_minutes,fastest_direct_minutes,change_at,typical_peak_minutes,peak_trains_per_hour,direct,operators
Burnham-on-Crouch,burnham-on-crouch,51.633658,0.814028,Paddington,PAD,86,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Moreton-in-Marsh,moreton-in-marsh,51.992281,-1.70038,Paddington,PAD,88,88,,90,1.2,yes,"Great Western Railway, Elizabeth line"
Richmond,richmond,51.463061,-0.301558,Paddington,PAD,88,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Stonehouse,stonehouse,51.745888,-2.279499,Paddington,PAD,88,88,,96,0.8,yes,"Great Western Railway, Elizabeth line"
Wivenhoe,wivenhoe,51.856531,0.956138,Paddington,PAD,88,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bristol Temple Meads,bristol-temple-meads,51.449144,-2.581315,Paddington,PAD,89,89,,99,2.0,yes,"Great Western Railway, Elizabeth line"
Southminster,southminster,51.660624,0.835193,Paddington,PAD,90,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Kentish Town,kentish-town,51.550495,-0.140365,St Pancras,STP,5,5,,5,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Finsbury Park,finsbury-park,51.564302,-0.106285,St Pancras,STP,7,7,,7,6.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
West Hampstead Thameslink,west-hampstead-thameslink,51.548476,-0.191837,St Pancras,STP,8,8,,10,8.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Cricklewood,cricklewood,51.558453,-0.212677,St Pancras,STP,13,13,,13,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Oakleigh Park,oakleigh-park,51.637678,-0.166209,St Pancras,STP,17,17,,18,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Ebbsfleet International,ebbsfleet-international,51.442973,0.320921,St Pancras,STP,18,18,,19,5.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Alexandra Palace,alexandra-palace,51.597924,-0.120235,St Pancras,STP,19,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Mill Hill Broadway,mill-hill-broadway,51.613093,-0.24924,St Pancras,STP,19,19,,22,6.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
New Barnet,new-barnet,51.648575,-0.172997,St Pancras,STP,19,19,,20,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Denmark Hill,denmark-hill,51.468203,-0.089361,St Pancras,STP,20,20,,20,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Hornsey,hornsey,51.586461,-0.111975,St Pancras,STP,20,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
St Albans City,st-albans,51.750473,-0.327538,St Pancras,STP,20,20,,32,11.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Gravesend,gravesend,51.441348,0.366643,St Pancras,STP,22,22,,25,4.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Welwyn Garden City,welwyn-garden-city,51.801048,-0.20407,St Pancras,STP,22,22,,37,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Elstree & Borehamwood,elstree-and-borehamwood,51.653069,-0.280081,St Pancras,STP,23,23,,26,6.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Luton Airport Parkway,luton-airport-parkway,51.872438,-0.395881,St Pancras,STP,23,23,,33,8.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Peckham Rye,peckham-rye,51.470034,-0.069414,St Pancras,STP,23,23,,24,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Potters Bar,potters-bar,51.697067,-0.192605,St Pancras,STP,24,24,,25,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Harpenden,harpenden,51.814645,-0.35148,St Pancras,STP,25,25,,29,7.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Knebworth,knebworth,51.866855,-0.187289,St Pancras,STP,25,25,,25,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Luton,luton,51.882305,-0.41404,St Pancras,STP,26,26,,36,9.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Radlett,radlett,51.685188,-0.317244,St Pancras,STP,26,26,,30,6.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
New Cross,new-cross,51.476344,-0.032426,St Pancras,STP,27,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Stevenage,stevenage,51.901688,-0.207109,St Pancras,STP,27,27,,28,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
East Croydon,east-croydon,51.375454,-0.09278,St Pancras,STP,29,29,,30,8.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Hadley Wood,hadley-wood,51.668497,-0.176172,St Pancras,STP,30,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hatfield,hatfield,51.763879,-0.215589,St Pancras,STP,30,30,,32,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Lewisham,lewisham,51.465692,-0.014024,St Pancras,STP,31,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Strood,strood,51.396549,0.500188,St Pancras,STP,32,32,,36,4.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Catford,catford,51.444407,-0.026317,St Pancras,STP,33,33,,33,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Enfield Chase,enfield-chase,51.653254,-0.090696,St Pancras,STP,33,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hitchin,hitchin,51.953283,-0.263481,St Pancras,STP,33,33,,34,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Hither Green,hither-green,51.452025,-0.000944,St Pancras,STP,34,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Gordon Hill,gordon-hill,51.663335,-0.09461,St Pancras,STP,35,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Ashford International,ashford-international,51.143706,0.876197,St Pancras,STP,36,36,,38,3.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Bellingham,bellingham,51.432913,-0.019331,St Pancras,STP,36,36,,36,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Coulsdon South,coulsdon-south,51.315838,-0.137887,St Pancras,STP,36,36,,36,2.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Rochester,rochester,51.389652,0.506855,St Pancras,STP,36,36,,64,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Blackheath,blackheath,51.465796,0.008872,St Pancras,STP,37,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Greenhithe for Bluewater,greenhithe-for-bluewater,51.450372,0.28029,St Pancras,STP,37,64,Gravesend,64,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Leagrave,leagrave,51.905159,-0.458503,St Pancras,STP,37,37,,41,4.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Purley,purley,51.337579,-0.114035,St Pancras,STP,37,37,,38,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Beckenham Hill,beckenham-hill,51.424583,-0.015951,St Pancras,STP,38,38,,38,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Brookmans Park,brookmans-park,51.721062,-0.204549,St Pancras,STP,38,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Grove Park,grove-park,51.430863,0.021726,St Pancras,STP,38,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Letchworth Garden City,letchworth-garden-city,51.979964,-0.229264,St Pancras,STP,38,38,,39,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Arlesey,arlesey,52.026031,-0.26632,St Pancras,STP,39,39,,41,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Bedford,bedford,52.136187,-0.479442,St Pancras,STP,39,39,,63,7.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Chatham,chatham,51.380379,0.521151,St Pancras,STP,39,39,,68,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Orpington,orpington,51.373296,0.089091,St Pancras,STP,39,58,London Bridge,58,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Woolwich Arsenal,woolwich-arsenal,51.489909,0.069194,St Pancras,STP,39,39,,39,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Crews Hill,crews-hill,51.684486,-0.106887,St Pancras,STP,40,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Redhill,redhill,51.240201,-0.1659,St Pancras,STP,40,40,,46,3.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Welham Green,welham-green,51.736352,-0.210692,St Pancras,STP,40,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Wimbledon,wimbledon,51.421222,-0.206371,St Pancras,STP,40,40,,41,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Baldock,baldock,51.992871,-0.187564,St Pancras,STP,41,41,,42,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Flitwick,flitwick,52.003642,-0.495258,St Pancras,STP,41,41,,51,5.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Merstham,merstham,51.264154,-0.150226,St Pancras,STP,41,41,,42,2.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Chelsfield,chelsfield,51.356256,0.10907,St Pancras,STP,42,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Dartford,dartford,51.447371,0.219248,St Pancras,STP,42,56,Gravesend,57,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Higham,higham,51.426559,0.466278,St Pancras,STP,42,81,Gravesend,81,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Kidbrooke,kidbrooke,51.462121,0.027498,St Pancras,STP,42,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Plumstead,plumstead,51.489795,0.084257,St Pancras,STP,42,42,,42,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
West Croydon,west-croydon,51.378428,-0.102585,St Pancras,STP,42,,Norwood Junction,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Bromley South,bromley-south,51.399976,0.017344,St Pancras,STP,43,45,London Blackfriars,46,4.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Clapham Junction,clapham-junction,51.464188,-0.170293,St Pancras,STP,43,,Denmark Hill,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Cuffley,cuffley,51.708722,-0.109783,St Pancras,STP,43,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Gillingham,gillingham,51.386565,0.54985,St Pancras,STP,43,43,,72,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Snodland,snodland,51.330231,0.448241,St Pancras,STP,43,43,,43,0.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Welwyn North,welwyn-north,51.823497,-0.192091,St Pancras,STP,43,,Stevenage,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Biggleswade,biggleswade,52.08468,-0.261187,St Pancras,STP,44,44,,46,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Chislehurst,chislehurst,51.405557,0.057418,St Pancras,STP,44,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Gatwick Airport,gatwick-airport,51.156491,-0.161041,St Pancras,STP,44,44,,44,7.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Northfleet,northfleet,51.445846,0.324334,St Pancras,STP,44,69,Gravesend,70,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Wellingborough,wellingborough,52.303783,-0.676651,St Pancras,STP,44,44,,58,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Abbey Wood,abbey-wood,51.491062,0.121394,St Pancras,STP,45,45,,45,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Eltham,eltham,51.455644,0.052472,St Pancras,STP,45,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
New Eltham,new-eltham,51.43806,0.070533,St Pancras,STP,45,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Upper Warlingham,upper-warlingham,51.308512,-0.077952,St Pancras,STP,45,45,,45,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Ashwell & Morden,ashwell-and-morden,52.030772,-0.109789,St Pancras,STP,46,46,,47,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Earlswood,earlswood,51.227328,-0.170823,St Pancras,STP,46,46,,52,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Harlington,harlington,51.962062,-0.49569,St Pancras,STP,46,46,,48,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Swanscombe,swanscombe,51.449071,0.309543,St Pancras,STP,46,67,Gravesend,68,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Watton-at-Stone,watton-at-stone,51.856438,-0.119427,St Pancras,STP,46,,Stevenage,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Bayford,bayford,51.757716,-0.09561,St Pancras,STP,47,,Finsbury Park,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Kettering,kettering,52.393555,-0.731562,St Pancras,STP,47,47,,59,4.1,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Petts Wood,petts-wood,51.388619,0.074481,St Pancras,STP,47,55,London Bridge,55,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Sutton,sutton,51.359533,-0.191215,St Pancras,STP,47,47,,53,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Wye,wye,51.185012,0.929304,St Pancras,STP,47,47,,,,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Bickley,bickley,51.400104,0.045241,St Pancras,STP,48,48,,48,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Sevenoaks,sevenoaks,51.276865,0.181669,St Pancras,STP,48,76,London Bridge,76,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Woldingham,woldingham,51.290158,-0.05187,St Pancras,STP,48,48,,48,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Barnehurst,barnehurst,51.464959,0.159646,St Pancras,STP,49,,Gravesend,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Oxted,oxted,51.257908,-0.004819,St Pancras,STP,49,49,,54,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Rainham (Kent),rainham-kent,51.366306,0.611337,St Pancras,STP,49,49,,78,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Sandy,sandy,52.124734,-0.28119,St Pancras,STP,49,49,,51,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Sidcup,sidcup,51.43387,0.103795,St Pancras,STP,49,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Three Bridges,three-bridges,51.116924,-0.161184,St Pancras,STP,49,49,,50,7.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Salfords,salfords,51.201748,-0.162489,St Pancras,STP,50,50,,56,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
St Mary Cray,st-mary-cray,51.394749,0.106384,St Pancras,STP,50,53,London Blackfriars,53,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hertford North,hertford-north,51.798857,-0.091788,St Pancras,STP,51,,Stevenage,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Royston,royston,52.05308,-0.026921,St Pancras,STP,51,51,,52,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Slade Green,slade-green,51.467786,0.190491,St Pancras,STP,51,51,,51,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Welling,welling,51.464798,0.10169,St Pancras,STP,51,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Bexleyheath,bexleyheath,51.4635,0.133735,St Pancras,STP,52,,Gravesend,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Folkestone West,folkestone-west,51.084587,1.153904,St Pancras,STP,52,52,,53,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Horley,horley,51.168775,-0.161054,St Pancras,STP,52,52,,58,3.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Maidstone West,maidstone-west,51.270466,0.515774,St Pancras,STP,52,52,,52,0.8,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Stone Crossing,stone-crossing,51.45133,0.263771,St Pancras,STP,52,62,Gravesend,62,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Canterbury West,canterbury-west,51.284269,1.075303,St Pancras,STP,53,53,,54,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Chilham,chilham,51.244611,0.975896,St Pancras,STP,53,53,,,,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Hurst Green,hurst-green,51.244431,0.003939,St Pancras,STP,53,53,,57,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Pluckley,pluckley,51.156473,0.747396,St Pancras,STP,53,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Bexley,bexley,51.440219,0.147903,St Pancras,STP,54,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Folkestone Central,folkestone-central,51.082888,1.169482,St Pancras,STP,54,54,,56,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Swanley,swanley,51.393387,0.169225,St Pancras,STP,54,57,London Blackfriars,57,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Westenhanger,westenhanger,51.094961,1.03805,St Pancras,STP,54,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Balcombe,balcombe,51.055522,-0.136934,St Pancras,STP,55,55,,55,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Battersea Park,battersea-park,51.47696,-0.147533,St Pancras,STP,55,,Denmark Hill,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Charing,charing,51.208099,0.790331,St Pancras,STP,55,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Meopham,meopham,51.386424,0.356952,St Pancras,STP,55,,Rochester,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Erith,erith,51.481671,0.175055,St Pancras,STP,56,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
St Neots,st-neots,52.231568,-0.247414,St Pancras,STP,56,56,,58,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Crayford,crayford,51.44828,0.178936,St Pancras,STP,57,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hildenborough,hildenborough,51.214486,0.22759,St Pancras,STP,57,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Kenley,kenley,51.324777,-0.100925,St Pancras,STP,57,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Market Harborough,market-harborough,52.479722,-0.909332,St Pancras,STP,57,57,,60,2.1,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Tonbridge,tonbridge,51.191411,0.270973,St Pancras,STP,57,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Chartham,chartham,51.257266,1.018039,St Pancras,STP,58,58,,,,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Sandling,sandling,51.090371,1.066043,St Pancras,STP,58,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Sittingbourne,sittingbourne,51.341977,0.734684,St Pancras,STP,58,58,,59,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Balham,balham,51.443225,-0.152424,St Pancras,STP,59,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Haywards Heath,haywards-heath,51.005682,-0.105078,St Pancras,STP,59,59,,61,4.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Headcorn,headcorn,51.165714,0.627482,St Pancras,STP,59,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Longfield,longfield,51.396155,0.300364,St Pancras,STP,59,,Rochester,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Lenham,lenham,51.234486,0.707759,St Pancras,STP,60,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Lingfield,lingfield,51.176453,-0.007165,St Pancras,STP,60,60,,64,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Whyteleafe,whyteleafe,51.309958,-0.081148,St Pancras,STP,60,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Meldreth,meldreth,52.090717,0.008941,St Pancras,STP,61,,Hitchin,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Reigate,reigate,51.241958,-0.203825,St Pancras,STP,61,,Redhill,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Sole Street,sole-street,51.383146,0.378097,St Pancras,STP,61,,Rochester,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Crawley,crawley,51.112214,-0.186673,St Pancras,STP,62,66,Three Bridges,68,2.4,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Whyteleafe South,whyteleafe-south,51.303387,-0.076918,St Pancras,STP,62,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Dormans,dormans,51.155792,-0.004308,St Pancras,STP,63,63,,67,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Eynsford,eynsford,51.36272,0.204393,St Pancras,STP,63,63,,63,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Harrietsham,harrietsham,51.244833,0.672399,St Pancras,STP,63,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Leicester,leicester,52.631425,-1.125275,St Pancras,STP,63,63,,72,4.1,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Cambridge South,cambridge-south,52.174231,0.131544,St Pancras,STP,64,64,,64,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
High Brooms,high-brooms,51.149405,0.277332,St Pancras,STP,64,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Huntingdon,huntingdon,52.328649,-0.192068,St Pancras,STP,64,64,,66,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Shepreth,shepreth,52.114162,0.031319,St Pancras,STP,64,,Hitchin,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Burgess Hill,burgess-hill,50.953656,-0.127413,St Pancras,STP,65,65,,67,4.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Knockholt,knockholt,51.34579,0.130847,St Pancras,STP,65,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Newington,newington,51.353342,0.668571,St Pancras,STP,65,,Rainham (Kent),,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Otford,otford,51.313158,0.196779,St Pancras,STP,65,69,London Blackfriars,69,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Paddock Wood,paddock-wood,51.182267,0.389149,St Pancras,STP,65,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Staplehurst,staplehurst,51.171467,0.550439,St Pancras,STP,65,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Caterham,caterham,51.282141,-0.078307,St Pancras,STP,66,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Dover Priory,dover-priory,51.125701,1.305294,St Pancras,STP,66,66,,66,1.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Edenbridge Town,edenbridge-town,51.200083,0.067173,St Pancras,STP,66,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Faversham,faversham,51.311714,0.891045,St Pancras,STP,66,66,,68,2.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Ifield,ifield,51.115623,-0.214772,St Pancras,STP,66,70,Three Bridges,71,2.4,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Shoreham (Kent),shoreham-kent,51.332219,0.18889,St Pancras,STP,66,66,,66,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Wandsworth Common,wandsworth-common,51.446185,-0.163386,St Pancras,STP,66,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Wivelsfield,wivelsfield,50.964297,-0.12079,St Pancras,STP,66,66,,66,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
East Grinstead,east-grinstead,51.126274,-0.0179,St Pancras,STP,67,67,,71,1.2,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Foxton,foxton,52.119214,0.056308,St Pancras,STP,67,,Hitchin,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Cambridge,cambridge,52.194067,0.137457,St Pancras,STP,68,68,,68,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Hollingbourne,hollingbourne,51.265179,0.627848,St Pancras,STP,68,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Peterborough,peterborough,52.574975,-0.249837,St Pancras,STP,68,79,Stevenage,81,2.0,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Sturry,sturry,51.301069,1.122255,St Pancras,STP,68,68,,,,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Tunbridge Wells,tunbridge-wells,51.130234,0.26281,St Pancras,STP,68,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hever,hever,51.181411,0.095069,St Pancras,STP,69,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Marden,marden,51.175176,0.493169,St Pancras,STP,69,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Thanet Parkway,thanet-parkway,51.330843,1.361777,St Pancras,STP,69,69,,70,2.4,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Dunton Green,dunton-green,51.29649,0.170937,St Pancras,STP,70,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Epsom,epsom,51.334393,-0.268778,St Pancras,STP,70,,Sutton (London),,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Hassocks,hassocks,50.924616,-0.145953,St Pancras,STP,70,70,,73,3.6,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Bearsted,bearsted,51.275821,0.57758,St Pancras,STP,71,,Ashford International,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Corby,corby,52.488851,-0.688335,St Pancras,STP,71,71,,74,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Littlehaven,littlehaven,51.079751,-0.30798,St Pancras,STP,72,76,Three Bridges,78,2.4,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Bat & Ball,bat-and-ball,51.289761,0.194228,St Pancras,STP,73,73,,73,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
Farningham Road,farningham-road,51.401666,0.235452,St Pancras,STP,73,,Rochester,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Frant,frant,51.104029,0.294543,St Pancras,STP,73,,London Bridge,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Borough Green & Wrotham,borough-green-and-wrotham,51.293219,0.306245,St Pancras,STP,74,,London Blackfriars,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Cowden,cowden,51.155637,0.110033,St Pancras,STP,74,,East Croydon,,,no,"Thameslink, East Midlands Railway, Southeastern high speed"
Faygate,faygate,51.095891,-0.263019,St Pancras,STP,74,74,,76,2.0,yes,"Thameslink, East Midlands Railway, Southeastern high speed"
